[0, 0;
 25.66732153949925, 0.8926792388560604;
 25.7675384636119, 0.9031795890517588;
 25.86774720274299, 0.9137577663328216;
 25.96794773043878, 0.9244134447400679;
 26.06814002099197, 0.9351462983465236;
 26.16832404943859, 0.9459560012582424;
 26.26849979155483, 0.9568422276151146;
 26.36866722385392, 0.9678046515916645;
 26.46882632358294, 0.9788429473978356;
 26.56897706871974, 0.9899567892797643;
 26.66911943796975, 1.001145851520541;
 26.76925341076284, 1.012409808440963;
 26.8693789672502, 1.023748334400269;
 26.96949608830116, 1.035161103796868;
 27.06960475550007, 1.046647791069058;
 27.16970495114317, 1.058208070695725;
 27.26979665823539, 1.069841617197038;
 27.36987986048726, 1.081548105135133;
 27.46995454231173, 1.093327209114776;
 27.57002068882106, 1.10517860378403;
 27.67007828582364, 1.117101963834898;
 27.77012731982086, 1.129096964003958;
 27.87016777800397, 1.141163279072994;
 27.97019964825094, 1.153300583869605;
 28.0702229191233, 1.16550855326781;
 28.170237579863, 1.177786862188641;
 28.27024362038928, 1.190135185600725;
 28.37024103129551, 1.202553198520851;
 28.47022980384604, 1.215040576014535;
 28.57020992997311, 1.227596993196564;
 28.67018140227362, 1.24022212523154;
 28.77014421400607, 1.2529156473344;
 28.87009835908737, 1.26567723477094;
 28.97004383208969, 1.27850656285832;
 29.06998062823739, 1.291403306965557;
 29.16990874340377, 1.304367142514013;
 29.26982817410802, 1.31739774497787;
 29.36973891751204, 1.330494789884595;
 29.4696409714173, 1.343657952815394;
 29.56953433426172, 1.356886909405656;
 29.66941900511649, 1.370181335345387;
 29.76929498368298, 1.383540906379637;
 29.86916227028956, 1.396965298308908;
 29.96902086588851, 1.410454186989564;
 30.06887077205281, 1.42400724833422;
 30.16871199097309, 1.437624158312129;
 30.26854452545441, 1.451304592949553;
 30.36836837891318, 1.465048228330132;
 30.46818355537401, 1.478854740595233;
 30.56799005946656, 1.492723805944296;
 30.66778789642242, 1.506655100635172;
 30.76757707207197, 1.520648300984445;
 30.86735759284126, 1.534703083367749;
 30.96712946574885, 1.548819124220071;
 31.0668926984027, 1.562996100036055;
 31.16664729899703, 1.57723368737028;
 31.26639327630917, 1.591531562837546;
 31.36613063969649, 1.605889403113136;
 31.46585939909319, 1.62030688493308;
 31.56557956500722, 1.6347836850944;
 31.66529114851715, 1.649319480455357;
 31.76499416126901, 1.663913947935677;
 31.86468861547321, 1.678566764516774;
 31.96437452390137, 1.69327760724197;
 32.06405189988322, 1.708046153216688;
 32.16372075730344, 1.72287207960866;
 32.26338111059859, 1.737755063648104;
 32.36303297475394, 1.752694782627907;
 32.46267636530038, 1.76769091390379;
 32.56231129831124, 1.782743134894475;
 32.66193779039926, 1.797851123081828;
 32.76155585871337, 1.813014556011008;
 32.86116552093564, 1.8282331112906;
 32.96076679527813, 1.84350646659274;
 33.06035970047977, 1.858834299653232;
 33.15994425580325, 1.874216288271658;
 33.25952048103191, 1.889652110311477;
 33.35908839646659, 1.905141443700122;
 33.45864802292256, 1.920683966429075;
 33.55819938172638, 1.93627935655395;
 33.65774249471276, 1.95192729219456;
 33.7572773842215, 1.967627451534971;
 33.85680407309435, 1.983379512823559;
 33.95632258467189, 1.999183154373049;
 34.05583294279041, 2.015038054560556;
 34.15533517177884, 2.030943891827603;
